"id","acelX","acelY","acelZ","girX","girY","girZ","idTipoMovimento","mag"
9998,998.0,-334.0,3136.0,5120.0,-2271.0,-4155.0,2,2245.0
9999,2039.0,-1071.0,6160.0,5248.0,5011.0,4105.0,2,-3097.0
10000,1324.0,-56.0,4171.0,5104.0,4197.0,61.0,2,-1930.0
10001,343.0,-923.0,3264.0,5184.0,-5939.0,-2717.0,2,-14844.0
10002,735.0,-1016.0,3452.0,5232.0,-7651.0,2286.0,2,-19719.0
10003,1529.0,-1677.0,3269.0,5200.0,-7721.0,3092.0,2,-10156.0
10004,1469.0,-665.0,3360.0,5184.0,766.0,2598.0,2,-3801.0
10005,1032.0,-77.0,3610.0,5184.0,-5103.0,-4274.0,2,2379.0
10006,1880.0,-1277.0,4746.0,5200.0,-458.0,202.0,2,9468.0
10007,1027.0,62.0,3807.0,5232.0,1229.0,-1430.0,2,-16304.0
10008,732.0,-691.0,3273.0,5200.0,-5188.0,-4642.0,2,1994.0
10009,1943.0,-667.0,2926.0,5248.0,8462.0,5219.0,2,1911.0
10010,975.0,-371.0,5123.0,5200.0,11233.0,2808.0,2,9760.0
10011,1152.0,-93.0,4430.0,5184.0,-6543.0,-7851.0,2,-101.0
10012,1857.0,-1001.0,3013.0,5248.0,3934.0,1434.0,2,5815.0
10013,1025.0,-363.0,3798.0,5168.0,1414.0,840.0,2,-1419.0
10014,597.0,-1011.0,3065.0,5184.0,1355.0,-397.0,2,-6760.0
10015,1292.0,-621.0,3255.0,5120.0,-2169.0,2771.0,2,-7456.0
10016,1764.0,-16.0,3103.0,5200.0,5474.0,1707.0,2,2291.0
10017,1349.0,-321.0,2875.0,5232.0,-10126.0,-8542.0,2,-431.0
10018,1853.0,-466.0,3595.0,5168.0,4289.0,5044.0,2,-1623.0
10019,1076.0,-335.0,3773.0,5168.0,4444.0,2037.0,2,-13810.0
10020,306.0,-722.0,3338.0,5168.0,4151.0,2651.0,2,-8465.0
10021,727.0,-530.0,4049.0,5136.0,-4062.0,1860.0,2,-7536.0
10022,1393.0,-462.0,3951.0,5184.0,5042.0,3638.0,2,-2447.0
10023,-95.0,650.0,3557.0,5104.0,-629.0,-2096.0,2,7291.0
10024,1350.0,20.0,3531.0,5184.0,5687.0,-1873.0,2,12360.0
10025,814.0,-342.0,3733.0,5120.0,-5846.0,-5868.0,2,331.0
10026,1760.0,-256.0,3088.0,5200.0,1743.0,2308.0,2,5711.0
10027,946.0,-343.0,5351.0,5232.0,8483.0,2489.0,2,15326.0
10028,1158.0,-20.0,3440.0,5248.0,-3867.0,-5936.0,2,7253.0
